date,tenant,source,sourcetype,sourcetype_official_name,size_in_bytes,count
2022-01-01,sfo,authentication,arubaclearpass,,1555616.0,38436.0
2022-01-02,sfo,authentication,arubaclearpass,,1497243.0,36929.0
2022-01-03,sfo,authentication,arubaclearpass,,1869916.0,49509.0
2022-01-04,sfo,authentication,arubaclearpass,,1967763.0,49764.0
2022-01-05,sfo,authentication,arubaclearpass,,1702020.0,43223.0
2022-01-06,sfo,authentication,arubaclearpass,,1975057.0,49106.0
2022-01-07,sfo,authentication,arubaclearpass,,1879231.0,46286.0
2022-01-08,sfo,authentication,arubaclearpass,,1584725.0,39375.0
2022-01-09,sfo,authentication,arubaclearpass,,1469799.0,36428.0
2022-01-10,sfo,authentication,arubaclearpass,,1976380.0,50072.0
2022-01-11,sfo,authentication,arubaclearpass,,2056020.0,51109.0
2022-01-12,sfo,authentication,arubaclearpass,,2200151.0,56045.0
2022-01-13,sfo,authentication,arubaclearpass,,2107167.0,53582.0
2022-01-14,sfo,authentication,arubaclearpass,,2051385.0,49757.0
2022-01-15,sfo,authentication,arubaclearpass,,1554234.0,37554.0
2022-01-16,sfo,authentication,arubaclearpass,,1465897.0,35730.0
2022-01-17,sfo,authentication,arubaclearpass,,1479613.0,36148.0
2022-01-18,sfo,authentication,arubaclearpass,,1632966.0,38388.0
2022-01-19,sfo,authentication,arubaclearpass,,2141609.0,53129.0
2022-01-20,sfo,authentication,arubaclearpass,,2138085.0,54036.0
2022-01-21,sfo,authentication,arubaclearpass,,2090034.0,50719.0
2022-01-22,sfo,authentication,arubaclearpass,,1563751.0,36912.0
2022-01-23,sfo,authentication,arubaclearpass,,1423427.0,34316.0
2022-01-24,sfo,authentication,arubaclearpass,,1873055.0,47185.0
2022-01-25,sfo,authentication,arubaclearpass,,2051435.0,50752.0
2022-01-26,sfo,authentication,arubaclearpass,,2108835.0,51277.0
2022-01-27,sfo,authentication,arubaclearpass,,2108055.0,51711.0
2022-01-28,sfo,authentication,arubaclearpass,,2049928.0,50095.0
2022-01-29,sfo,authentication,arubaclearpass,,1602786.0,37173.0
2022-01-30,sfo,authentication,arubaclearpass,,1370224.0,33608.0
2022-01-31,sfo,authentication,arubaclearpass,,1572529.0,38459.0
